Visitor,Home,Hour,Minute,Year,Month,Day
'Pittsburgh Penguins','Philadelphia Flyers',17,30,2021,1,13
'Montréal Canadiens','Toronto Maple Leafs',19,0,2021,1,13
'Chicago Blackhawks','Tampa Bay Lightning',20,0,2021,1,13
'Vancouver Canucks','Edmonton Oilers',22,0,2021,1,13
'St. Louis Blues','Colorado Avalanche',22,30,2021,1,13
'Washington Capitals','Buffalo Sabres',19,0,2021,1,14
'Boston Bruins','New Jersey Devils',19,0,2021,1,14
'New York Islanders','New York Rangers',19,0,2021,1,14
'Carolina Hurricanes','Detroit Red Wings',19,30,2021,1,14
'Columbus Blue Jackets','Nashville Predators',20,0,2021,1,14
'Calgary Flames','Winnipeg Jets',20,0,2021,1,14
'Vancouver Canucks','Edmonton Oilers',21,0,2021,1,14
'San Jose Sharks','Arizona Coyotes',21,0,2021,1,14
'Anaheim Ducks','Vegas Golden Knights',22,0,2021,1,14
'Minnesota Wild','Los Angeles Kings',22,0,2021,1,14
'Dallas Stars','Florida Panthers',19,0,2021,1,14
'Washington Capitals','Buffalo Sabres',19,0,2021,1,15
'Pittsburgh Penguins','Philadelphia Flyers',19,0,2021,1,15
'Chicago Blackhawks','Tampa Bay Lightning',19,0,2021,1,15
'Toronto Maple Leafs','Ottawa Senators',19,0,2021,1,15
'St. Louis Blues','Colorado Avalanche',21,0,2021,1,15
'Dallas Stars','Florida Panthers',19,0,2021,1,15
'Boston Bruins','New Jersey Devils',13,0,2021,1,16
'San Jose Sharks','Arizona Coyotes',16,0,2021,1,16
'New York Islanders','New York Rangers',19,0,2021,1,16
'Carolina Hurricanes','Detroit Red Wings',19,0,2021,1,16
'Toronto Maple Leafs','Ottawa Senators',19,0,2021,1,16
'Montréal Canadiens','Edmonton Oilers',19,0,2021,1,16
'Columbus Blue Jackets','Nashville Predators',20,0,2021,1,16
'Minnesota Wild','Los Angeles Kings',21,0,2021,1,16
'Vancouver Canucks','Calgary Flames',22,0,2021,1,16
'Anaheim Ducks','Vegas Golden Knights',22,0,2021,1,16
'Washington Capitals','Pittsburgh Penguins',12,0,2021,1,17
'Chicago Blackhawks','Florida Panthers',19,0,2021,1,17
'Dallas Stars','Tampa Bay Lightning',19,0,2021,1,17
'Columbus Blue Jackets','Detroit Red Wings',12,0,2021,1,18
'Boston Bruins','New York Islanders',17,0,2021,1,18
'Winnipeg Jets','Toronto Maple Leafs',19,0,2021,1,18
'Buffalo Sabres','Philadelphia Flyers',19,30,2021,1,18
'San Jose Sharks','St. Louis Blues',20,0,2021,1,18
'Carolina Hurricanes','Nashville Predators',20,0,2021,1,18
'Vancouver Canucks','Calgary Flames',21,0,2021,1,18
'Montréal Canadiens','Edmonton Oilers',21,0,2021,1,18
'Minnesota Wild','Anaheim Ducks',21,0,2021,1,18
'Arizona Coyotes','Vegas Golden Knights',22,0,2021,1,18
'New Jersey Devils','New York Rangers',19,0,2021,1,19
'Buffalo Sabres','Philadelphia Flyers',19,0,2021,1,19
'Dallas Stars','Tampa Bay Lightning',19,0,2021,1,19
'Chicago Blackhawks','Florida Panthers',19,0,2021,1,19
'Washington Capitals','Pittsburgh Penguins',19,0,2021,1,19
'Winnipeg Jets','Ottawa Senators',19,0,2021,1,19
'Columbus Blue Jackets','Detroit Red Wings',19,30,2021,1,19
'Carolina Hurricanes','Nashville Predators',20,0,2021,1,19
'Colorado Avalanche','Los Angeles Kings',22,0,2021,1,19
'Edmonton Oilers','Toronto Maple Leafs',19,0,2021,1,20
'San Jose Sharks','St. Louis Blues',21,0,2021,1,20
'Minnesota Wild','Anaheim Ducks',21,30,2021,1,20
'Montréal Canadiens','Vancouver Canucks',22,0,2021,1,20
'Arizona Coyotes','Vegas Golden Knights',22,0,2021,1,20
'Philadelphia Flyers','Boston Bruins',19,0,2021,1,21
'New Jersey Devils','New York Islanders',19,0,2021,1,21
'Florida Panthers','Carolina Hurricanes',19,0,2021,1,21
'Tampa Bay Lightning','Columbus Blue Jackets',19,0,2021,1,21
'Winnipeg Jets','Ottawa Senators',19,0,2021,1,21
'Montréal Canadiens','Vancouver Canucks',21,30,2021,1,21
'Colorado Avalanche','Los Angeles Kings',22,0,2021,1,21
'Buffalo Sabres','Washington Capitals',19,0,2021,1,22
'New York Rangers','Pittsburgh Penguins',19,0,2021,1,22
'Edmonton Oilers','Toronto Maple Leafs',19,0,2021,1,22
'Detroit Red Wings','Chicago Blackhawks',20,0,2021,1,22
'San Jose Sharks','Minnesota Wild',20,0,2021,1,22
'Nashville Predators','Dallas Stars',20,30,2021,1,22
'Vegas Golden Knights','Arizona Coyotes',21,0,2021,1,22
'Colorado Avalanche','Anaheim Ducks',22,0,2021,1,22
'Florida Panthers','Carolina Hurricanes',13,0,2021,1,23
'Philadelphia Flyers','Boston Bruins',19,0,2021,1,23
'Tampa Bay Lightning','Columbus Blue Jackets',19,0,2021,1,23
'Montréal Canadiens','Vancouver Canucks',19,0,2021,1,23
'Los Angeles Kings','St. Louis Blues',20,0,2021,1,23
'Ottawa Senators','Winnipeg Jets',22,0,2021,1,23
'Detroit Red Wings','Chicago Blackhawks',12,30,2021,1,24
'Toronto Maple Leafs','Calgary Flames',16,0,2021,1,24
'Vegas Golden Knights','Arizona Coyotes',16,0,2021,1,24
'New York Islanders','New Jersey Devils',19,0,2021,1,24
'Buffalo Sabres','Washington Capitals',19,0,2021,1,24
'New York Rangers','Pittsburgh Penguins',19,0,2021,1,24
'Los Angeles Kings','St. Louis Blues',20,0,2021,1,24
'San Jose Sharks','Minnesota Wild',20,0,2021,1,24
'Nashville Predators','Dallas Stars',20,0,2021,1,24
'Colorado Avalanche','Anaheim Ducks',20,0,2021,1,24
'Edmonton Oilers','Winnipeg Jets',21,0,2021,1,24
'Ottawa Senators','Vancouver Canucks',22,0,2021,1,25
'Pittsburgh Penguins','Boston Bruins',19,0,2021,1,26
'New York Rangers','Buffalo Sabres',19,0,2021,1,26
'Philadelphia Flyers','New Jersey Devils',19,0,2021,1,26
'New York Islanders','Washington Capitals',19,0,2021,1,26
'Tampa Bay Lightning','Carolina Hurricanes',19,0,2021,1,26
'Florida Panthers','Columbus Blue Jackets',19,0,2021,1,26
'Chicago Blackhawks','Nashville Predators',20,0,2021,1,26
'Edmonton Oilers','Winnipeg Jets',20,0,2021,1,26
'Los Angeles Kings','Minnesota Wild',20,0,2021,1,26
'Detroit Red Wings','Dallas Stars',20,30,2021,1,26
'Toronto Maple Leafs','Calgary Flames',21,0,2021,1,26
'San Jose Sharks','Colorado Avalanche',21,0,2021,1,26
'Anaheim Ducks','Arizona Coyotes',21,0,2021,1,26
'St. Louis Blues','Vegas Golden Knights',21,0,2021,1,26
'Chicago Blackhawks','Nashville Predators',19,30,2021,1,27
'Ottawa Senators','Vancouver Canucks',20,0,2021,1,27
'Pittsburgh Penguins','Boston Bruins',19,0,2021,1,28
'New York Rangers','Buffalo Sabres',19,0,2021,1,28
'Philadelphia Flyers','New Jersey Devils',19,0,2021,1,28
'New York Islanders','Washington Capitals',19,0,2021,1,28
'Tampa Bay Lightning','Carolina Hurricanes',19,0,2021,1,28
'Florida Panthers','Columbus Blue Jackets',19,0,2021,1,28
'Calgary Flames','Montréal Canadiens',19,0,2021,1,28
'Los Angeles Kings','Minnesota Wild',20,0,2021,1,28
'Detroit Red Wings','Dallas Stars',20,30,2021,1,28
'San Jose Sharks','Colorado Avalanche',21,0,2021,1,28
'Anaheim Ducks','Arizona Coyotes',21,0,2021,1,28
'St. Louis Blues','Vegas Golden Knights',21,0,2021,1,28
'Toronto Maple Leafs','Edmonton Oilers',22,0,2021,1,28
'Ottawa Senators','Vancouver Canucks',22,0,2021,1,28
'Columbus Blue Jackets','Chicago Blackhawks',20,0,2021,1,29
'New Jersey Devils','Buffalo Sabres',13,0,2021,1,30
'Pittsburgh Penguins','New York Rangers',19,0,2021,1,30
'New York Islanders','Philadelphia Flyers',19,0,2021,1,30
'Boston Bruins','Washington Capitals',19,0,2021,1,30
'Dallas Stars','Carolina Hurricanes',19,0,2021,1,30
'Nashville Predators','Tampa Bay Lightning',19,0,2021,1,30
'Florida Panthers','Detroit Red Wings',19,0,2021,1,30
'Calgary Flames','Montréal Canadiens',19,0,2021,1,30
'Toronto Maple Leafs','Edmonton Oilers',19,0,2021,1,30
'Colorado Avalanche','Minnesota Wild',20,0,2021,1,30
'St. Louis Blues','Anaheim Ducks',21,0,2021,1,30
'Vancouver Canucks','Winnipeg Jets',22,0,2021,1,30
'New Jersey Devils','Buffalo Sabres',13,0,2021,1,31
'Dallas Stars','Carolina Hurricanes',17,0,2021,1,31
'Florida Panthers','Detroit Red Wings',17,0,2021,1,31
'New York Islanders','Philadelphia Flyers',19,0,2021,1,31
'Columbus Blue Jackets','Chicago Blackhawks',19,0,2021,1,31
'Colorado Avalanche','Minnesota Wild',20,0,2021,1,31
'St. Louis Blues','Anaheim Ducks',20,0,2021,1,31
'Ottawa Senators','Edmonton Oilers',21,0,2021,1,31
'Pittsburgh Penguins','New York Rangers',19,0,2021,2,1
'Boston Bruins','Washington Capitals',19,0,2021,2,1
'Nashville Predators','Tampa Bay Lightning',19,0,2021,2,1
'Vancouver Canucks','Montréal Canadiens',19,0,2021,2,1
'Calgary Flames','Winnipeg Jets',20,0,2021,2,1
'Vegas Golden Knights','San Jose Sharks',22,30,2021,2,1
'Buffalo Sabres','New York Islanders',18,0,2021,2,2
'New Jersey Devils','Pittsburgh Penguins',19,0,2021,2,2
'Dallas Stars','Columbus Blue Jackets',19,0,2021,2,2
'Vancouver Canucks','Montréal Canadiens',19,0,2021,2,2
'Carolina Hurricanes','Chicago Blackhawks',20,0,2021,2,2
'Arizona Coyotes','St. Louis Blues',20,0,2021,2,2
'Calgary Flames','Winnipeg Jets',20,0,2021,2,2
'Minnesota Wild','Colorado Avalanche',20,30,2021,2,2
'Ottawa Senators','Edmonton Oilers',22,0,2021,2,2
'Anaheim Ducks','Los Angeles Kings',22,0,2021,2,2
'Detroit Red Wings','Tampa Bay Lightning',17,30,2021,2,3
'Boston Bruins','Philadelphia Flyers',20,0,2021,2,3
'Vegas Golden Knights','San Jose Sharks',22,30,2021,2,3
'Buffalo Sabres','New York Islanders',19,0,2021,2,4
'Washington Capitals','New York Rangers',19,0,2021,2,4
'Nashville Predators','Florida Panthers',19,0,2021,2,4
'New Jersey Devils','Pittsburgh Penguins',19,0,2021,2,4
'Dallas Stars','Columbus Blue Jackets',19,0,2021,2,4
'Ottawa Senators','Montréal Canadiens',19,0,2021,2,4
'Vancouver Canucks','Toronto Maple Leafs',19,0,2021,2,4
'Carolina Hurricanes','Chicago Blackhawks',20,0,2021,2,4
'Arizona Coyotes','St. Louis Blues',20,0,2021,2,4
'Calgary Flames','Winnipeg Jets',20,0,2021,2,4
'Minnesota Wild','Colorado Avalanche',21,0,2021,2,4
'Boston Bruins','Philadelphia Flyers',19,0,2021,2,5
'Detroit Red Wings','Tampa Bay Lightning',19,0,2021,2,5
'Nashville Predators','Florida Panthers',19,0,2021,2,5
'Los Angeles Kings','Vegas Golden Knights',22,0,2021,2,5
'San Jose Sharks','Anaheim Ducks',22,0,2021,2,5
'New York Rangers','New Jersey Devils',13,0,2021,2,6
'Montréal Canadiens','Ottawa Senators',13,0,2021,2,6
'Colorado Avalanche','St. Louis Blues',15,0,2021,2,6
'Arizona Coyotes','Minnesota Wild',15,0,2021,2,6
'Pittsburgh Penguins','New York Islanders',19,0,2021,2,6
'Vancouver Canucks','Toronto Maple Leafs',19,0,2021,2,6
'Buffalo Sabres','Boston Bruins',19,30,2021,2,6
'Edmonton Oilers','Calgary Flames',22,0,2021,2,6
'San Jose Sharks','Anaheim Ducks',22,0,2021,2,6
'Philadelphia Flyers','Washington Capitals',12,0,2021,2,7
'Detroit Red Wings','Florida Panthers',15,0,2021,2,7
'Carolina Hurricanes','Columbus Blue Jackets',15,0,2021,2,7
'Colorado Avalanche','St. Louis Blues',15,0,2021,2,7
'Arizona Coyotes','Minnesota Wild',15,0,2021,2,7
'Chicago Blackhawks','Dallas Stars',15,0,2021,2,7
'Los Angeles Kings','Vegas Golden Knights',15,0,2021,2,7
'Buffalo Sabres','Boston Bruins',19,0,2021,2,8
'New York Islanders','New York Rangers',19,0,2021,2,8
'Carolina Hurricanes','Columbus Blue Jackets',19,0,2021,2,8
'Edmonton Oilers','Ottawa Senators',19,0,2021,2,8
'Vancouver Canucks','Toronto Maple Leafs',19,0,2021,2,8
'Tampa Bay Lightning','Nashville Predators',20,0,2021,2,8
'Pittsburgh Penguins','New Jersey Devils',18,0,2021,2,9
'Philadelphia Flyers','Washington Capitals',19,0,2021,2,9
'Detroit Red Wings','Florida Panthers',19,0,2021,2,9
'Edmonton Oilers','Ottawa Senators',19,0,2021,2,9
'St. Louis Blues','Minnesota Wild',20,0,2021,2,9
'Tampa Bay Lightning','Nashville Predators',20,30,2021,2,9
'Chicago Blackhawks','Dallas Stars',20,30,2021,2,9
'Arizona Coyotes','Colorado Avalanche',21,0,2021,2,9
'Winnipeg Jets','Calgary Flames',22,0,2021,2,9
'Anaheim Ducks','Vegas Golden Knights',22,0,2021,2,9
'San Jose Sharks','Los Angeles Kings',22,0,2021,2,9
'Boston Bruins','New York Rangers',19,0,2021,2,10
'Toronto Maple Leafs','Montréal Canadiens',19,30,2021,2,10
'Washington Capitals','Buffalo Sabres',19,0,2021,2,11
'Pittsburgh Penguins','New York Islanders',19,0,2021,2,11
'New Jersey Devils','Philadelphia Flyers',19,0,2021,2,11
'Tampa Bay Lightning','Florida Panthers',19,0,2021,2,11
'Edmonton Oilers','Montréal Canadiens',19,0,2021,2,11
'Columbus Blue Jackets','Chicago Blackhawks',20,0,2021,2,11
'Detroit Red Wings','Nashville Predators',20,0,2021,2,11
'Ottawa Senators','Winnipeg Jets',20,0,2021,2,11
'St. Louis Blues','Minnesota Wild',20,0,2021,2,11
'Carolina Hurricanes','Dallas Stars',20,30,2021,2,11
'Arizona Coyotes','Colorado Avalanche',21,0,2021,2,11
'Calgary Flames','Vancouver Canucks',22,0,2021,2,11
'Anaheim Ducks','Vegas Golden Knights',22,0,2021,2,11
'San Jose Sharks','Los Angeles Kings',22,0,2021,2,11
'Boston Bruins','New York Rangers',19,0,2021,2,12
'Washington Capitals','Buffalo Sabres',13,0,2021,2,13
'Ottawa Senators','Winnipeg Jets',15,0,2021,2,13
'Boston Bruins','New York Islanders',19,0,2021,2,13
'New Jersey Devils','Philadelphia Flyers',19,0,2021,2,13
'Tampa Bay Lightning','Florida Panthers',19,0,2021,2,13
'Montréal Canadiens','Toronto Maple Leafs',19,0,2021,2,13
'St. Louis Blues','Arizona Coyotes',19,0,2021,2,13
'Columbus Blue Jackets','Chicago Blackhawks',20,0,2021,2,13
'Detroit Red Wings','Nashville Predators',20,0,2021,2,13
'Carolina Hurricanes','Dallas Stars',20,0,2021,2,13
'Calgary Flames','Vancouver Canucks',22,0,2021,2,13
'Minnesota Wild','Los Angeles Kings',22,0,2021,2,13
'Anaheim Ducks','San Jose Sharks',22,30,2021,2,13
'Washington Capitals','Pittsburgh Penguins',15,0,2021,2,14
'Colorado Avalanche','Vegas Golden Knights',19,0,2021,2,14
'St. Louis Blues','Arizona Coyotes',16,0,2021,2,15
'New Jersey Devils','Boston Bruins',19,0,2021,2,15
'New York Islanders','Buffalo Sabres',19,0,2021,2,15
'Ottawa Senators','Toronto Maple Leafs',19,0,2021,2,15
'Chicago Blackhawks','Detroit Red Wings',19,30,2021,2,15
'Nashville Predators','Dallas Stars',20,30,2021,2,15
'Winnipeg Jets','Edmonton Oilers',21,0,2021,2,15
'Calgary Flames','Vancouver Canucks',22,0,2021,2,15
'Anaheim Ducks','San Jose Sharks',22,30,2021,2,15
'New York Islanders','Buffalo Sabres',19,0,2021,2,16
'Philadelphia Flyers','New York Rangers',19,0,2021,2,16
'Columbus Blue Jackets','Carolina Hurricanes',19,0,2021,2,16
'Florida Panthers','Tampa Bay Lightning',19,0,2021,2,16
'Washington Capitals','Pittsburgh Penguins',19,0,2021,2,16
'Nashville Predators','Dallas Stars',20,30,2021,2,16
'Colorado Avalanche','Vegas Golden Knights',22,0,2021,2,16
'Minnesota Wild','Los Angeles Kings',22,0,2021,2,16
'Ottawa Senators','Toronto Maple Leafs',19,0,2021,2,17
'Chicago Blackhawks','Detroit Red Wings',19,30,2021,2,17
'Vancouver Canucks','Calgary Flames',22,0,2021,2,17
'Winnipeg Jets','Edmonton Oilers',22,0,2021,2,17
'New Jersey Devils','Boston Bruins',19,0,2021,2,18
'New York Rangers','Philadelphia Flyers',19,0,2021,2,18
'New York Islanders','Pittsburgh Penguins',19,0,2021,2,18
'Nashville Predators','Columbus Blue Jackets',19,0,2021,2,18
'Ottawa Senators','Toronto Maple Leafs',19,0,2021,2,18
'San Jose Sharks','St. Louis Blues',20,0,2021,2,18
'Tampa Bay Lightning','Dallas Stars',20,30,2021,2,18
'Los Angeles Kings','Arizona Coyotes',21,0,2021,2,18
'Minnesota Wild','Anaheim Ducks',22,0,2021,2,18
'Chicago Blackhawks','Carolina Hurricanes',19,0,2021,2,19
'Florida Panthers','Detroit Red Wings',19,30,2021,2,19
'Edmonton Oilers','Calgary Flames',21,0,2021,2,19
'Winnipeg Jets','Vancouver Canucks',22,0,2021,2,19
'Buffalo Sabres','New Jersey Devils',12,30,2021,2,20
'Vegas Golden Knights','Colorado Avalanche',15,0,2021,2,20
'New York Rangers','Washington Capitals',19,0,2021,2,20
'Chicago Blackhawks','Carolina Hurricanes',19,0,2021,2,20
'New York Islanders','Pittsburgh Penguins',19,0,2021,2,20
'Nashville Predators','Columbus Blue Jackets',19,0,2021,2,20
'Toronto Maple Leafs','Montréal Canadiens',19,0,2021,2,20
'Los Angeles Kings','Arizona Coyotes',19,0,2021,2,20
'San Jose Sharks','St. Louis Blues',20,0,2021,2,20
'Tampa Bay Lightning','Dallas Stars',20,0,2021,2,20
'Minnesota Wild','Anaheim Ducks',21,0,2021,2,20
